Item Name,ID,Item Code
DRAIN PUMP FHC125KVE,960878,960878
OTHER SALES PROMOTION CV BINTANG PLASMA,10,10
INSTORE PROMO CV BINTANG PLASMA,100007,100007
REMOTE GREE GWC09C3ES,100008,100008
SHOP SIGN,100012,100012
Pembelian Aset,100013,100013
MIYAKO 1606XPL,1606XPL,1606XPL
THERMISTOR FCNQ42MV,1706394,1706394
THERMISTOR ASSY,2257105,2257105
PLATE FINNED COIL HEAT EXCH ASSY,2547453,2547453
DAIKIN 2MKC20RVM (15+15),2MKC20RVM1515,2MKC20RVM1515
DAIKIN 2MKC20RVM (15+20),2MKC20RVM1520,2MKC20RVM1520
DAIKIN 2MKC30QVM (15+15),2MKC30QVM1515,2MKC30QVM1515
DAIKIN 2MKC30QVM (15+20),2MKC30QVM1520,2MKC30QVM1520
TCL 32D3000B,32D3000B,32D3000B
LG 32LM5500,32LM5500,32LM5500
LG 32LR650,32LR650,32LR650
SAMSUNG 32T4503,32T4503,32T4503
POLYTRON 32V1753,32V1753,32V1753
DAIKIN REMOTE CONTROLLER BRC1NU64,4006174,4006174
DAIKIN FAN ROTOR,4009395,4009395
EVAPORATOR FCNQ42MV,4010742,4010742
DRAIN PAN ASSY,4010814,4010814
DAIKIN CAPACITOR RNE25MV14,4012123,4012123
PCB ASSY ENTRY TABLE,4012700,4012700
KOMPRESSOR DAIKIN RNE25MV14,4013825,4013825
DAIKIN PCB FTNE25MV,4013947,4013947
RC50AXV,4014960,4014960
FAN MOTOR INDOOR STC50NV14,4016166,4016166
FAN MOTOR INDOOR FTNE15MV,4016279,4016279
HANDSET 4018422 FTV.CXV,4018422,4018422
REMOTE CONTROL ASSY DAIKIN,4019416,4019416
COMPRESSOR ASSY RC35NV,4021346,4021346
KOMPRESSOR DAIKIN RC50NV,4022320,4022320
KOMPRESSOR DAIKIN RC60NV,4022321,4022321
EVAPORATOR FTC15NV,4022515,4022515
SONY 40R35C,40R35C,40R35C
LG 43LM5500,43LM5500,43LM5500
TCL 43S5400A,43S5400A,43S5400A
LG 43UQ7500,43UQ7500,43UQ7500
LG 50UQ7500,50UQ7500,50UQ7500
SAMSUNG 65BU8500,65BU8500,65BU8500
