,Nomor Dokumen,Customer,Payment Terms,Date,Branch,Currency,Exchange Rate,Grand Total,Total PPn,Item Code,Item Name,Qty,Price,Nomor SO,Nomor DN,Nomor UM,Nilai Uang Muka
0,T00295/2025,CUST-2025-04298,13/02/2025,24/01/2025,BALI,,,11550000.0,1144595.0,AQAKCR5FQDL,AQUA AQA-KCR5FQDL,5,2310000.0,SO.2025.01.02010,,,0.0
1,S01598/2025,CUST-2025-33004,24/01/2025,24/01/2025,SURABAYA,,,2315000.0,229414.0,AN05CDG,HISENSE AN05CDG,1,2315000.0,SO.2025.01.01988,,,0.0
2,S00511/2025,ANEKA JAYAPURA,09/01/2025,09/01/2025,SURABAYA,,,12930000.0,2413063.0,STC25NV,DAIKIN STC-25NV,3,4310000.0,SO.2025.01.00639,,,0.0
3,S00511/2025,ANEKA JAYAPURA,09/01/2025,09/01/2025,SURABAYA,,,11420000.0,2413063.0,AR05BGHQ,SAMSUNG AR05BGHQ,4,2855000.0,SO.2025.01.00639,,,0.0
4,S01566/2025,CUST-2025-27770,23/01/2025,23/01/2025,SURABAYA,,,225000.0,22297.0,GEVER1438,"GEVER INVERTER 1/4-3/8""",3,75000.0,SO.2025.01.01968,,,0.0
5,S00588/2025,ANEKA JAYAPURA,08/02/2025,09/01/2025,SURABAYA,,,4320000.0,497477.0,S1438,"ZUTTO 1/4""-3/8"" (0,40-0,45)",3,1440000.0,SO.2025.01.00639,,,0.0
6,S01567/2025,CUST-2025-05801,23/01/2025,23/01/2025,BALI,,,109150.0,27790.0,ZUTTO-DTNL-CR,ZUTTO DUCT TAPE NON LEM CREAM,20,5457.5,SO.2025.01.01969,,,0.0
7,S01567/2025,CUST-2025-05801,23/01/2025,23/01/2025,BALI,,,171280.0,27790.0,ZUTTO-DTL,ZUTTO DUCT TAPE LEM,20,8564.0,SO.2025.01.01969,,,0.0
8,S00588/2025,ANEKA JAYAPURA,08/02/2025,09/01/2025,SURABAYA,,,700000.0,497477.0,ZUTTO1PK,ZUTTO BRAKET 1 PK,20,35000.0,SO.2025.01.00639,,,0.0
9,S00589/2025,CUST-2025-00360,09/01/2025,09/01/2025,SURABAYA,,,2775000.0,275000.0,MSFC09CRN2X,MIDEA MSFC09CRN2X,1,2775000.0,SO.2025.01.00736,,,0.0
10,S00590/2025,ABDU SYAKUR,09/01/2025,09/01/2025,SURABAYA,,,2290000.0,226936.0,AN05CDG,HISENSE AN05CDG,1,2290000.0,SO.2025.01.00737,,,0.0
11,S01599/2025,ARI DANANGGA,24/01/2025,24/01/2025,BALI,,,267000.0,564568.0,A1412,"ARA 1/4""-1/2"" (0,60-0,60)",3,89000.0,SO.2025.01.02005,,,0.0
12,S01599/2025,ARI DANANGGA,24/01/2025,24/01/2025,BALI,,,5430000.0,564568.0,STC35NV,DAIKIN STC-35NV,1,5430000.0,SO.2025.01.02005,,,0.0
13,S00592/2025,CUST-2025-14470,10/01/2025,10/01/2025,BALI,,,4139000.0,410171.0,HSWS12ES,HONSHU HSWS-12ES,1,4139000.0,SO.2025.01.00710,,,0.0
14,S00544/2025,CUST-2025-03811,09/01/2025,09/01/2025,SURABAYA,,,28920000.0,3942162.0,STC50XV,DAIKIN STC-50XV,4,7230000.0,SO.2025.01.00556,,,0.0
15,S00544/2025,CUST-2025-03811,09/01/2025,09/01/2025,SURABAYA,,,10860000.0,3942162.0,STC35NV,DAIKIN STC-35NV,2,5430000.0,SO.2025.01.00556,,,0.0
16,S01601/2025,CUST-2025-14471,24/01/2025,24/01/2025,MADIUN,,,5310000.0,1212973.0,MSFC09CRN2X,MIDEA MSFC09CRN2X,2,2655000.0,SO.2025.01.01919,,,0.0
17,S01600/2025,CUST-2025-19801,23/02/2025,24/01/2025,MADIUN,,,120000.0,11892.0,ZUTTO-DTNL,ZUTTO DUCT TAPE NON LEM,20,6000.0,SO.2025.01.01922,,,0.0
18,S00591/2025,CUST-2025-06860,09/01/2025,09/01/2025,SURABAYA,,,3400000.0,336936.0,CSCUYN5AKJ,PANASONIC CS/CU-YN5AKJ,1,3400000.0,SO.2025.01.00740,,,0.0
19,S01601/2025,CUST-2025-14471,24/01/2025,24/01/2025,MADIUN,,,6930000.0,1212973.0,MSFC05CRN2X,MIDEA MSFC05CRN2X,3,2310000.0,SO.2025.01.01919,,,0.0
20,S00593/2025,CUST-2025-11717,10/01/2025,10/01/2025,BALI,,,3349000.0,331882.0,GWC05MOO5S,GREE GWC-05MOO5S,1,3349000.0,SO.2025.01.00711,,,0.0
21,S01875/2025,CUST-2025-18326,30/01/2025,30/01/2025,BALI,,,2430132.0,240824.0,MSFC05CRN2X,MIDEA MSFC05CRN2X,1,2430132.0,SO.2025.01.02349,,,0.0
22,S00594/2025,CUST-2025-22489,10/01/2025,10/01/2025,BALI,,,3989000.0,395306.0,GWC09MOO5S,GREE GWC-09MOO5S,1,3989000.0,SO.2025.01.00726,,,0.0
23,S01602/2025,CUST-2025-14471,23/02/2025,24/01/2025,MADIUN,,,5760000.0,570811.0,S1438,"ZUTTO 1/4""-3/8"" (0,40-0,45)",4,1440000.0,SO.2025.01.01961,,,0.0
24,S00595/2025,CUST-2025-04282,10/01/2025,10/01/2025,SURABAYA,,,12000000.0,1189189.0,STC15NV,DAIKIN STC-15NV,3,4000000.0,SO.2025.01.00697,,,0.0
25,S01603/2025,AGUS WAWAN (BEDAHULU),24/01/2025,24/01/2025,BALI,,,2694032.0,266976.0,MSFC09CRN2X,MIDEA MSFC09CRN2X,1,2694032.0,SO.2025.01.02014,,,0.0
26,S01568/2025,CUST-2025-29026,23/01/2025,23/01/2025,SURABAYA,,,180000.0,282432.0,S1438,"ZUTTO 1/4""-3/8"" (0,40-0,45)",3,60000.0,SO.2025.01.01965,,,0.0
27,S01568/2025,CUST-2025-29026,23/01/2025,23/01/2025,SURABAYA,,,2625000.0,282432.0,AHA5BEY,SHARP AH-A5BEY,1,2625000.0,SO.2025.01.01965,,,0.0
28,S01568/2025,CUST-2025-29026,23/01/2025,23/01/2025,SURABAYA,,,35000.0,282432.0,ZUTTO1PK,ZUTTO BRAKET 1 PK,1,35000.0,SO.2025.01.01965,,,0.0
29,S01568/2025,CUST-2025-29026,23/01/2025,23/01/2025,SURABAYA,,,10000.0,282432.0,ZUTTO-DTNL,ZUTTO DUCT TAPE NON LEM,2,5000.0,SO.2025.01.01971,,,0.0
30,S01604/2025,CUST-2025-26599,24/01/2025,24/01/2025,BALI,,,2439557.0,241758.0,AQAKCR5FQDL,AQUA AQA-KCR5FQDL,1,2439557.0,SO.2025.01.02013,,,0.0
31,S00587/2025,CUST-2025-18585,09/01/2025,09/01/2025,BALI,,,2740000.0,271531.0,PAC07VH,POLYTRON PAC07VH,1,2740000.0,SO.2025.01.00735,,,0.0
32,S01570/2025,CUST-2025-04955,23/01/2025,23/01/2025,SURABAYA,,,2290000.0,226937.0,AN05CDG,HISENSE AN05CDG,1,2290000.0,SO.2025.01.01973,,,0.0
33,S00596/2025,AGUS (JIMBARAN),10/01/2025,10/01/2025,BALI,,,2879000.0,285306.0,ASW05A4FFR3,AUX ASW05A4/FFR3,1,2879000.0,SO.2025.01.00743,,,0.0
34,S00597/2025,,10/01/2025,10/01/2025,BALI,,,2420132.0,239832.0,MSFC05CRN2X,MIDEA MSFC05CRN2X,1,2420132.0,SO.2025.01.00730,,,0.0
35,S01605/2025,CUST-2025-15242,24/01/2025,24/01/2025,BALI,,,2380000.0,503423.0,MSFC05CRN2X,MIDEA MSFC05CRN2X,1,2380000.0,SO.2025.01.02015,,,0.0
36,S01571/2025,CUST-2025-00164,23/01/2025,23/01/2025,BALI,,,2380000.0,235856.0,AQAKCR5FQDL,AQUA AQA-KCR5FQDL,1,2380000.0,SO.2025.01.01974,,,0.0
37,S01605/2025,CUST-2025-15242,24/01/2025,24/01/2025,BALI,,,2700000.0,503423.0,MSFC09CRN2X,MIDEA MSFC09CRN2X,1,2700000.0,SO.2025.01.02015,,,0.0
38,S01572/2025,CUST-2025-28479,23/01/2025,23/01/2025,MADIUN,,,1925000.0,190766.0,CW0501RA,REIWA CW-0501RA,1,1925000.0,SO.2025.01.01976,,,0.0
39,S01569/2025,CUST-2025-19487,23/01/2025,23/01/2025,MADIUN,,,57825000.0,5730405.0,GVC48STSSECO,GREE GVC-48STS(S)ECO,3,19275000.0,SO.2025.01.01491,,,57825000.0
40,T00084/2025,CUST-2025-24938,09/02/2025,10/01/2025,SURABAYA,,,2250000.0,222972.0,ZUTTO2.5PK,"ZUTTO BRAKET 2,5 PK",50,45000.0,SO.2025.01.00734,,,0.0
41,T00083/2025,CUST-2025-04446,10/01/2025,10/01/2025,SURABAYA,,,6410000.0,635225.0,CSCUYN18AKJ,PANASONIC CS/CU-YN18AKJ,1,6410000.0,SO.2025.01.00709,,,0.0
42,T00085/2025,CUST-2025-04044,10/01/2025,10/01/2025,SURABAYA,,,18400000.0,1823423.0,CSCUYN9AKJ,PANASONIC CS/CU-YN9AKJ,5,3680000.0,SO.2025.01.00700,,,0.0
43,S01606/2025,CUST-2025-09810,24/01/2025,24/01/2025,SURABAYA,,,19137000.0,2619883.0,GWC18N1A,GREE GWC-18N1A,3,6379000.0,SO.2025.01.00227,,,0.0
44,S01606/2025,CUST-2025-09810,24/01/2025,24/01/2025,SURABAYA,,,7300000.0,2619883.0,GWC09MOO5S,GREE GWC-09MOO5S,2,3650000.0,SO.2025.01.00227,,,0.0
45,S01607/2025,CUST-2025-32050,24/01/2025,24/01/2025,SURABAYA,,,2650000.0,262613.0,PAC09VH,POLYTRON PAC09VH,1,2650000.0,SO.2025.01.02016,,,0.0
46,S01573/2025,CUST-2025-17892,23/01/2025,23/01/2025,SURABAYA,,,4918000.0,487369.0,PAC05VZI,POLYTRON PAC05VZI,2,2459000.0,SO.2025.01.01975,,,0.0
47,S01608/2025,CUST-2025-00064,24/01/2025,24/01/2025,SURABAYA,,,5000000.0,495495.0,STKQ20UV,DAIKIN STKQ-20UV,1,5000000.0,SO.2025.01.02018,,,0.0
48,S01608/2025,CUST-2025-00064,24/01/2025,24/01/2025,SURABAYA,,,0.0,495495.0,ZUTTO1PK,ZUTTO BRAKET 1 PK,1,0.0,SO.2025.01.02018,,,0.0
49,S01574/2025,ARI AFANDI,23/01/2025,23/01/2025,SURABAYA,,,4760000.0,471712.0,AQAKCR5FQDL,AQUA AQA-KCR5FQDL,2,2380000.0,SO.2025.01.01977,,,0.0
50,S00598/2025,CUST-2025-33004,10/01/2025,10/01/2025,SURABAYA,,,2780000.0,550495.0,AN09CDG,HISENSE AN09CDG,1,2780000.0,SO.2025.01.00693,,,0.0
