,Instructions,Supplier,Supplier Delivery Note,Date,Posting Time,Branch,Currency,Exchange Rate,Item Code (Items),Item Name (Items),Rate (Company Currency) (Items),Received Quantity (Items),Accepted Quantity (Items),UOM (Items),Accepted Warehouse (Items),Purchase Order (Items),Purchase Order Item (Items),Purchase Invoice (Items),Purchase Invoice Item (Items
0,,PT DAIKIN AIRCONDITIONING INDONESIA,RI.2025.01.00001,03/01/2025,,SURABAYA,,,SVC100AYL,DAIKIN SVC100AYL,,1,1,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00001,,,
1,,PT DAIKIN AIRCONDITIONING INDONESIA,RI.2025.01.00002,03/01/2025,,SURABAYA,,,STC15NV,DAIKIN STC-15NV,,10,10,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00002,,,
2,,PT DAIKIN AIRCONDITIONING INDONESIA,RI.2025.01.00002,03/01/2025,,SURABAYA,,,STC50XV,DAIKIN STC-50XV,,10,10,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00002,,,
3,,PT DAIKIN AIRCONDITIONING INDONESIA,RI.2025.01.00003,03/01/2025,,SURABAYA,,,STV50CXV,DAIKIN STV-50CXV,,6,6,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00003,,,
4,,PT DAIKIN AIRCONDITIONING INDONESIA,RI.2025.01.00003,03/01/2025,,SURABAYA,,,STC20NV,DAIKIN STC-20NV,,5,5,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00003,,,
5,,PT DAIKIN AIRCONDITIONING INDONESIA,RI.2025.01.00003,03/01/2025,,SURABAYA,,,STKC25TV,DAIKIN STKC-25TV,,2,2,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00003,,,
6,,PT DAIKIN AIRCONDITIONING INDONESIA,RI.2025.01.00004,03/01/2025,,SURABAYA,,,2MKC20RVM1515,DAIKIN 2MKC20RVM (15+15),,1,1,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00004,,,
7,,SAMI JAYA,RI.2025.01.00005,03/01/2025,,SURABAYA,,,GWC05MOO5S,GREE GWC-05MOO5S,,30,30,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00005,,,
8,,PT LG ELECTRONICS INDONESIA,RI.2025.01.00006,04/01/2025,,SURABAYA,,,T09EV5,LG T09EV5,,5,5,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00007,,,
9,,PT AKARI INDONESIA,RI.2025.01.00008,04/01/2025,,SURABAYA,,,A05TC88NLW,AKARI A05TC88NLW,,15,15,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00010,,,
10,,PT CHANGHONG MEILING ELECTRIC INDONESIA,RI.2025.01.00007,04/01/2025,,SURABAYA,,,CSC12NVB4,CHANGHONG CSC-12NVB4,,5,5,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00006,,,
11,,PT CHANGHONG MEILING ELECTRIC INDONESIA,RI.2025.01.00007,04/01/2025,,SURABAYA,,,CSC09RDX4,CHANGHONG CSC-09RDX4,,7,7,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00006,,,
12,,PT SARANA KENCANA MULYA,RI.2025.01.00009,04/01/2025,,SURABAYA,,,PAC05VH,POLYTRON PAC05VH,,40,40,SET,GD. UTAMA (SBY) - CBP,PO.2024.12.00101,,,
13,,PT SARANA KENCANA MULYA,RI.2025.01.00010,04/01/2025,,SURABAYA,,,PAC09VH,POLYTRON PAC09VH,,10,10,SET,GD. UTAMA (SBY) - CBP,PO.2024.12.00101,,,
14,,PT SHARP ELECTRONICS INDONESIA,RI.2025.01.00011,06/01/2025,,SURABAYA,,,AHX6BEY,SHARP AH-X6BEY,,15,15,SET,GD. UTAMA (SBY) - CBP,PO.2024.12.00196,,,
15,,PT SHARP ELECTRONICS INDONESIA,RI.2025.01.00011,06/01/2025,,SURABAYA,,,AHX10BEY,SHARP AH-X10BEY,,15,15,SET,GD. UTAMA (SBY) - CBP,PO.2024.12.00196,,,
16,,PT SHARP ELECTRONICS INDONESIA,RI.2025.01.00011,06/01/2025,,SURABAYA,,,PB40509,"SHARP 1/4""-3/8"" (0,50-0,60)",,3,3,ROL20,GD. UTAMA (SBY) - CBP,PO.2024.12.00196,,,
17,,PT CATURAGA TIARA PERSADA,RI.2025.01.00012,06/01/2025,,SURABAYA,,,CW0501RA,REIWA CW-0501RA,,35,35,UNIT,GD. UTAMA (SBY) - CBP,PO.2025.01.00009,,,
18,,PT SUMBER MANDIRI SURABAYA,RI.2025.01.00013,06/01/2025,,SURABAYA,,,HDSPIRALDRAIN,HD SPIRAL DRAIN,,5,5,ROL50,GD. UTAMA (SBY) - CBP,PO.2025.01.00015,,,
