,Terms and Conditions,Supplier,Date,Branch,Currency,Exchange Rate,Price List,Payment Terms,Template,Item Code (Items),Item Name (Items),Quantity (Items),Rate (Company Currency) (Items),Required By (Items),UOM (Items),Target Warehouse (Items),Account Head (Purchase Taxes and Charges),Add or Deduct (Purchase Taxes and Charges),Consider Tax or Charge for (Purchase Taxes and Charges),Description (Purchase Taxes and Charges),Type (Purchase Taxes and Charges),Is this Tax included in Basic Rate? (Purchase Taxes and Charges),Tax Rate (Purchase Taxes and Charges
0,PO.2025.01.00129,PT TRIMASTER JAYA ABADI,24/01/2025,SURABAYA,IDR,,,NET 30,,GWC07MOO5S,GREE GWC-07MOO5S,5,3309870,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
1,PO.2025.01.00129,PT TRIMASTER JAYA ABADI,24/01/2025,SURABAYA,IDR,,,NET 30,,GWC12F5S,GREE GWC-12F5S,1,5162370,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
2,PO.2025.01.00129,PT TRIMASTER JAYA ABADI,24/01/2025,SURABAYA,IDR,,,NET 30,,GWC18F5S,GREE GWC-18F5S,1,7253070,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
3,PO.2025.01.00127,PT SHARP ELECTRONICS INDONESIA,24/01/2025,SURABAYA,IDR,,,NET 21,,AHA18ZCY,SHARP AH-A18ZCY,20,5294000,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
4,PO.2025.01.00122,CV BANDUNG GEMILANG SENTOSA,23/01/2025,SURABAYA,IDR,,,CBD,,GWC07MOO5S,GREE GWC-07MOO5S,3,3274280,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
5,PO.2025.01.00008,PT DAIKIN AIRCONDITIONING INDONESIA,03/01/2025,SURABAYA,IDR,,,CBD,,STC25NV,DAIKIN STC-25NV,10,3940090,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
6,PO.2025.01.00133,PT SHARP ELECTRONICS INDONESIA,28/01/2025,SURABAYA,IDR,,,NET 21,,AHA5BEY,SHARP AH-A5BEY,145,2716170,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
7,PO.2025.01.00136,PT JATIM WATKORAYA,28/01/2025,BALI,IDR,,,CBD,,ETERNA3X2.5MM,"ETERNA 3X2,5MM",3,1548186,,MTR,GD. UTAMA (BALI) - CBP,,,,,,,
8,PO.2025.01.00138,PT DAIKIN AIRCONDITIONING INDONESIA,24/01/2025,SURABAYA,IDR,,,CBD,,SVC85AYL,DAIKIN SVC85AYL,1,17715600,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
9,PO.2025.01.00135,CV BALLY AIRCOND,28/01/2025,BALI,IDR,,,CBD,,,,15,3571050,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
10,PO.2025.01.00135,CV BALLY AIRCOND,28/01/2025,BALI,IDR,,,CBD,,GWC18N1A,GREE GWC-18N1A,10,6174050,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
11,PO.2025.01.00009,PT CATURAGA TIARA PERSADA,03/01/2025,SURABAYA,IDR,,,NET 30,,CW0501RA,REIWA CW-0501RA,100,1799900,,UNIT,GD. UTAMA (SBY) - CBP,,,,,,,
12,PO.2025.01.00017,PT DAIKIN AIRCONDITIONING INDONESIA,06/01/2025,SURABAYA,IDR,,,CBD,,SVC85AYL,DAIKIN SVC85AYL,1,17715600,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
13,PO.2025.01.00022,PT DAIKIN AIRCONDITIONING INDONESIA,06/01/2025,BALI,IDR,,,CBD,,STC35NV,DAIKIN STC-35NV,7,4889710,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
14,PO.2025.01.00010,PT AKARI INDONESIA,04/01/2025,SURABAYA,IDR,,,NET 30,,A05TC88NLW,AKARI A05TC88NLW,15,2300000,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
15,PO.2025.01.00018,PT MEGAH PERTAMA INDAH,06/01/2025,SURABAYA,IDR,,,CBD,,PWC776,POLYTRON PWC-776,1,2060000,,UNIT,GD. UTAMA (SBY) - CBP,,,,,,,
16,PO.2025.01.00011,PT DAIKIN AIRCONDITIONING INDONESIA,03/01/2025,SURABAYA,IDR,,,CBD,,4010742,EVAPORATOR FCNQ42MV,1,2822000,,BH,GD. UTAMA (SBY) - CBP,,,,,,,
17,PO.2025.01.00011,PT DAIKIN AIRCONDITIONING INDONESIA,03/01/2025,SURABAYA,IDR,,,CBD,,4010814,DRAIN PAN ASSY,1,1198500,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
18,PO.2025.01.00159,PT SARANA KENCANA MULYA,31/01/2025,SURABAYA,IDR,,,NET 28,,PAC18VH,POLYTRON PAC18VH,50,4932651,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
19,PO.2025.01.00141,PT TRIMASTER JAYA ABADI,30/01/2025,SURABAYA,IDR,,,NET 30,,TAC05CSDXS,TCL TAC05CSD/XS,5,2250000,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
20,PO.2025.01.00141,PT TRIMASTER JAYA ABADI,30/01/2025,SURABAYA,IDR,,,NET 30,,GWC07MOO5S,GREE GWC-07MOO5S,10,3309870,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
21,PO.2025.01.00001,PT DAIKIN AIRCONDITIONING INDONESIA,02/01/2025,SURABAYA,IDR,,,CBD,,SVC100AYL,DAIKIN SVC100AYL,1,22146270,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
22,PO.2025.01.00002,PT DAIKIN AIRCONDITIONING INDONESIA,02/01/2025,SURABAYA,IDR,,,CBD,,STC15NV,DAIKIN STC-15NV,10,3623550,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
23,PO.2025.01.00142,PT DAIKIN AIRCONDITIONING INDONESIA,30/01/2025,SURABAYA,IDR,,,CBD,,STC15NV,DAIKIN STC-15NV,15,3623550,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
