,Nomor Dokumen,Customer,Payment Terms,Date,Branch,Currency,Exchange Rate,Grand Total,Total PPn,Item Code,Item Name,Qty,Price,Nomor SO,Nomor DN,Nomor UM,Nilai Uang Muka
0,S05163/2025,,07/04/2025,08/03/2025,SURABAYA,,,3545000.0,587162.0,STP25AV9,DAIKIN STP-25AV9,1,3545000.0,SO.2025.03.00983,,,0.0
1,T00947/2025,CUST-2025-04335,07/04/2025,08/03/2025,SURABAYA,,,36970000.0,3663694.0,GSA48ACY,SHARP GS-A48ACY,2,18485000.0,SO.2025.03.00830,,,0.0
2,S05163/2025,,07/04/2025,08/03/2025,SURABAYA,,,2380000.0,587162.0,MSFC05CRN2X,MIDEA MSFC05CRN2X,1,2380000.0,SO.2025.03.00983,,,0.0
3,S05393/2025,,10/03/2025,10/03/2025,SURABAYA,,,6220000.0,616396.0,,,2,3110000.0,SO.2025.03.01278,,,0.0
4,S05167/2025,,08/03/2025,08/03/2025,SURABAYA,,,157500.0,15608.0,ETERNA3X2.5MM,"ETERNA 3X2,5MM",9,17500.0,SO.2025.03.01014,,,0.0
5,S05164/2025,CUST-2025-17386,07/04/2025,08/03/2025,SURABAYA,,,2100000.0,208108.0,ZUTTO1PK,ZUTTO BRAKET 1 PK,60,35000.0,SO.2025.03.00982,,,0.0
6,S05165/2025,CUST-2025-33409,08/03/2025,08/03/2025,SURABAYA,,,12700000.0,1258559.0,CSCUYN18AKJ,PANASONIC CS/CU-YN18AKJ,2,6350000.0,SO.2025.03.00897,,,0.0
7,S05166/2025,,08/03/2025,08/03/2025,SURABAYA,,,1979000.0,580523.0,CW0501RA,REIWA CW-0501RA,1,1979000.0,SO.2025.03.00873,,,0.0
8,S05166/2025,,08/03/2025,08/03/2025,SURABAYA,,,3879000.0,580523.0,T05EV5,LG T05EV5,1,3879000.0,SO.2025.03.00873,,,0.0
9,S05169/2025,,08/03/2025,08/03/2025,SURABAYA,,,2679000.0,265486.0,H05TN4SCAX,LG H05TN4.SCAX,1,2679000.0,SO.2025.03.01015,,,0.0
10,S05168/2025,,08/03/2025,08/03/2025,SURABAYA,,,147500.0,14617.0,ZUTTO-DTNL-CR,ZUTTO DUCT TAPE NON LEM CREAM,25,5900.0,SO.2025.03.01013,,,0.0
11,S05170/2025,,08/03/2025,08/03/2025,SURABAYA,,,2679000.0,265486.0,H05TN4SCAX,LG H05TN4.SCAX,1,2679000.0,SO.2025.03.01016,,,0.0
12,S05172/2025,,08/03/2025,08/03/2025,SURABAYA,,,1944000.0,192649.0,CW0501RA,REIWA CW-0501RA,1,1944000.0,SO.2025.03.01018,,,0.0
13,S04423/2025,,03/03/2025,03/03/2025,SURABAYA,,,2759000.0,273414.0,AQAKCR9FQDL,AQUA AQA-KCR9FQDL,1,2759000.0,SO.2025.03.00123,,,0.0
14,S05171/2025,,08/03/2025,08/03/2025,SURABAYA,,,1944000.0,192649.0,CW0501RA,REIWA CW-0501RA,1,1944000.0,SO.2025.03.01017,,,0.0
15,S05175/2025,,08/03/2025,08/03/2025,SURABAYA,,,2759000.0,278270.0,AHA5BEY,SHARP AH-A5BEY,1,2759000.0,SO.2025.03.01024,,,0.0
16,S05173/2025,,08/03/2025,08/03/2025,SURABAYA,,,1944000.0,192649.0,CW0501RA,REIWA CW-0501RA,1,1944000.0,SO.2025.03.01026,,,0.0
17,S05174/2025,,08/03/2025,08/03/2025,SURABAYA,,,2759000.0,273414.0,AHA5BEY,SHARP AH-A5BEY,1,2759000.0,SO.2025.03.01025,,,0.0
18,S05175/2025,,08/03/2025,08/03/2025,SURABAYA,,,49000.0,278270.0,ZUTTO1PK,ZUTTO BRAKET 1 PK,1,49000.0,SO.2025.03.01024,,,0.0
19,S05176/2025,CUST-2025-17309,07/04/2025,08/03/2025,SURABAYA,,,2480000.0,1487477.0,CSC05RDX4,CHANGHONG CSC-05RDX4,1,2480000.0,SO.2025.03.01010,,,0.0
20,T00948/2025,CUST-2025-03897,07/04/2025,08/03/2025,SURABAYA,,,22850000.0,3530405.0,PAC05VH,POLYTRON PAC05VH,10,2285000.0,SO.2025.03.00971,,,0.0
21,T00948/2025,CUST-2025-03897,07/04/2025,08/03/2025,SURABAYA,,,12775000.0,3530405.0,PAC09VH,POLYTRON PAC09VH,5,2555000.0,SO.2025.03.00971,,,0.0
22,S05176/2025,CUST-2025-17309,07/04/2025,08/03/2025,SURABAYA,,,5600000.0,1487477.0,H07TN4SCAX,LG H07TN4.SCAX,2,2800000.0,SO.2025.03.01010,,,0.0
23,S05176/2025,CUST-2025-17309,07/04/2025,08/03/2025,SURABAYA,,,6930000.0,1487477.0,AQAKCR5FQDL,AQUA AQA-KCR5FQDL,3,2310000.0,SO.2025.03.01010,,,0.0
24,S05177/2025,,08/03/2025,08/03/2025,SURABAYA,,,2789000.0,276387.0,PAC09VH,POLYTRON PAC09VH,1,2789000.0,SO.2025.03.01023,,,0.0
25,S05180/2025,,08/03/2025,08/03/2025,SURABAYA,,,5869000.0,581613.0,STC35NV,DAIKIN STC-35NV,1,5869000.0,SO.2025.03.01020,,,0.0
26,S04765/2025,,10/03/2025,10/03/2025,BALI,,,2900000.0,287387.0,AHA9BEY,SHARP AH-A9BEY,1,2900000.0,SO.2025.03.01281,,,0.0
27,S05178/2025,CUST-2025-24471,08/03/2025,08/03/2025,SURABAYA,,,3839000.0,380441.0,T05EV5,LG T05EV5,1,3839000.0,SO.2025.03.01022,,,0.0
