,Terms and Conditions,Supplier,Date,Branch,Supplier Invoice No,Supplier Invoice Date,Faktur Pajak No,Payment Terms Template,Item (Items),Item Name (Items),Accepted Qty (Items),Rate (Items),UOM (Items),Purchase Order (Items),Purchase Order Item (Items),Purchase Receipt (Items),Purchase Receipt Detail (Items),Account Head (Purchase Taxes and Charges),Add or Deduct (Purchase Taxes and Charges),Consider Tax or Charge for (Purchase Taxes and Charges),Description (Purchase Taxes and Charges),Type (Purchase Taxes and Charges),Is this Tax included in Basic Rate? (Purchase Taxes and Charges),Is Tax Withholding Account (Purchase Taxes and Charges),Reference Type (Advances),Reference Name (Advances),Allocated Amount (Advances),Advance amount (Advances)
0,PI.2025.01.00133,CV BANDUNG GEMILANG SENTOSA,22/01/2025,SURABAYA,0125/132,,04002500015431075,,GU140TAK,GREE GU140T/A-K,2,,,PO.2025.01.00110,,,,,,,,,,,,,,
1,PI.2025.01.00002,PT DAIKIN AIRCONDITIONING INDONESIA,03/01/2025,SURABAYA,0125/002,,04002500005683904,,STC15NV,DAIKIN STC-15NV,10,,,PO.2025.01.00002,,,,,,,,,,,,,,
2,PI.2025.01.00211,PT SHARP ELECTRONICS INDONESIA,31/01/2025,SURABAYA,0125/210,,04002500014448481,,AHA5BEY,SHARP AH-A5BEY,45,,,PO.2025.01.00133,,,,,,,,,,,,,,
3,PI.2025.01.00212,PT SHARP ELECTRONICS INDONESIA,31/01/2025,SURABAYA,0125/211,,04002500014449257,,AHA9BEY,SHARP AH-A9BEY,20,,,PO.2025.01.00133,,,,,,,,,,,,,,
4,PI.2025.01.00211,PT SHARP ELECTRONICS INDONESIA,31/01/2025,SURABAYA,0125/210,,04002500014448481,,AHA9BEY,SHARP AH-A9BEY,35,,,PO.2025.01.00133,,,,,,,,,,,,,,
5,PI.2025.01.00025,PT SAMSUNG ELECTRONICS INDONESIA,09/01/2025,SURABAYA,0125/025,,04002500004433837,,AR05BGHQ,SAMSUNG AR05BGHQ,5,,,PO.2024.11.00059,,,,,,,,,,,,,,
6,PI.2025.01.00025,PT SAMSUNG ELECTRONICS INDONESIA,09/01/2025,SURABAYA,0125/025,,04002500004433837,,AR09BGHQ,SAMSUNG AR09BGHQ,5,,,PO.2024.11.00059,,,,,,,,,,,,,,
7,PI.2025.01.00134,PT SARANA KENCANA MULYA,23/01/2025,SURABAYA,0125/134,,04002500011153225,,PSF2032,POLYTRON PSF2032,10,,,PO.2025.01.00163,,,,,,,,,,,,,,
8,PI.2025.01.00135,PT MIDEA PLANET INDONESIA,24/01/2025,SURABAYA,0125/135,,,,MPHA05CRN7,MIDEA MPHA-05CRN7,10,,,PO.2025.01.00116,,,,,,,,,,,,,,
9,PI.2025.01.00136,PT MIDEA PLANET INDONESIA,24/01/2025,SURABAYA,0125/136,,,,MSFC05CRN2X,MIDEA MSFC05CRN2X,30,,,PO.2025.01.00024,,,,,,,,,,,,,,
10,PI.2025.01.00137,PT MIDEA PLANET INDONESIA,24/01/2025,SURABAYA,0125/137,,,,MSAF07CRN2,MIDEA MSAF07CRN2,5,,,PO.2025.01.00028,,,,,,,,,,,,,,
11,PI.2025.01.00004,PT DAIKIN AIRCONDITIONING INDONESIA,03/01/2025,SURABAYA,0125/004,,04002500005683905,,2MKC20RVM1515,DAIKIN 2MKC20RVM (15+15),1,,,PO.2025.01.00004,,,,,,,,,,,,,,
12,PI.2025.01.00138,PT MIDEA PLANET INDONESIA,24/01/2025,SURABAYA,0125/138,,,,MPHA09CRN7,MIDEA MPHA-09CRN7,5,,,PO.2025.01.00024,,,,,,,,,,,,,,
13,PI.2025.01.00006,PT LG ELECTRONICS INDONESIA,04/01/2025,SURABAYA,0125/006,,04002500006785997,,T09EV5,LG T09EV5,5,,,PO.2025.01.00007,,,,,,,,,,,,,,
14,PI.2025.01.00008,PT AKARI INDONESIA,04/01/2025,SURABAYA,0125/008,,04002500007103933,,A05TC88NLW,AKARI A05TC88NLW,15,,,PO.2025.01.00010,,,,,,,,,,,,,,
15,PI.2025.01.00064,PT DAIKIN AIRCONDITIONING INDONESIA,14/01/2025,SURABAYA,0125/069,,04002500006239568,,STV25CXV,DAIKIN STV-25CXV,10,,,PO.2025.01.00056,,,,,,,,,,,,,,
16,PI.2025.01.00145,PT SARANA KENCANA MULYA,23/01/2025,MADIUN,0125/146,,04002500011153253,,PAC05VH,POLYTRON PAC05VH,40,,,PO.2025.01.00019,,,,,,,,,,,,,,
17,PI.2025.01.00143,PT SHARP ELECTRONICS INDONESIA,24/01/2025,BALI,0125/144,,04002500011671319,,AHAP5BMY,SHARP AH-AP5BMY,5,,,PO.2025.01.00107,,,,,,,,,,,,,,
18,PI.2025.01.00143,PT SHARP ELECTRONICS INDONESIA,24/01/2025,BALI,0125/144,,04002500011671319,,AHAP9BMY,SHARP AH-AP9BMY,5,,,PO.2025.01.00107,,,,,,,,,,,,,,
19,PI.2025.01.00065,PT SARANA KENCANA MULYA,14/01/2025,SURABAYA,0125/070,,04002500004429262,,PAC09VH,POLYTRON PAC09VH,17,,,PO.2025.01.00019,,,,,,,,,,,,,,
20,PI.2025.01.00147,PT PANASONIC GOBEL INDONESIA,28/01/2025,SURABAYA,0125/148,,04002500013711823,,CSCUYN9AKJ,PANASONIC CS/CU-YN9AKJ,130,,,PO.2025.01.00047,,,,,,,,,,,,,,
21,PI.2025.01.00148,PT DAIKIN AIRCONDITIONING INDONESIA,24/01/2025,SURABAYA,0125/142,,04002500012349640,,STC25NV,DAIKIN STC-25NV,5,,,PO.2025.01.00118,,,,,,,,,,,,,,
22,PI.2025.01.00149,PT SARANA KENCANA MULYA,24/01/2025,SURABAYA,0125/133,,04002500011153269,,PSF2032,POLYTRON PSF2032,1,,,PO.2025.01.00109,,,,,,,,,,,,,,
23,PI.2025.01.00066,PT SARANA KENCANA MULYA,14/01/2025,SURABAYA,0125/071,,04002500004429277,,PAC05VH,POLYTRON PAC05VH,33,,,PO.2025.01.00019,,,,,,,,,,,,,,
24,PI.2025.01.00152,PT TRIMASTER JAYA ABADI,25/01/2025,SURABAYA,0125/151,,04002500017889610,,GWC07MOO5S,GREE GWC-07MOO5S,5,,,PO.2025.01.00129,,,,,,,,,,,,,,
25,PI.2025.01.00153,PT SHARP ELECTRONICS INDONESIA,25/01/2025,SURABAYA,0125/152,,04002500012851258,,AHA18ZCY,SHARP AH-A18ZCY,10,,,PO.2025.01.00127,,,,,,,,,,,,,,
26,PI.2025.01.00067,CV MUARA PERKASA,15/01/2025,BALI,0125/072,,04002500002121085,,GWC05MOO5S,GREE GWC-05MOO5S,20,,,PO.2025.01.00069,,,,,,,,,,,,,,
27,PI.2025.01.00154,PT SHARP ELECTRONICS INDONESIA,25/01/2025,SURABAYA,0125/153,,04002500012851348,,AHA18ZCY,SHARP AH-A18ZCY,10,,,PO.2025.01.00127,,,,,,,,,,,,,,
28,PI.2025.01.00032,PT PANASONIC GOBEL INDONESIA,10/01/2025,SURABAYA,0125/032,,04002500004352295,,FV15TGU1W,PANASONIC FV-15TGU1-W,20,,,PO.2025.01.00039,,,,,,,,,,,,,,
29,PI.2025.01.00032,PT PANASONIC GOBEL INDONESIA,10/01/2025,SURABAYA,0125/032,,04002500004352295,,FV25TGU5W,PANASONIC FV-25TGU5-W,20,,,PO.2025.01.00039,,,,,,,,,,,,,,
30,PI.2025.01.00012,PT TRIMASTER JAYA ABADI,07/01/2025,SURABAYA,0125/012,,04002500008977802,,GEVER1438,"GEVER INVERTER 1/4-3/8""",8,,,PO.2025.01.00027,,,,,,,,,,,,,,
31,PI.2025.01.00106,PT PUCANGADI JAYA,22/01/2025,BALI,0125/107,,04002500006446650,,GWC09MOO5S,GREE GWC-09MOO5S,15,,,PO.2025.01.00099,,,,,,,,,,,,,,
