,Terms and Conditions,Supplier,Date,Branch,Currency,Exchange Rate,Price List,Payment Terms,Template,Item Code (Items),Item Name (Items),Quantity (Items),Rate (Company Currency) (Items),Required By (Items),UOM (Items),Target Warehouse (Items),Account Head (Purchase Taxes and Charges),Add or Deduct (Purchase Taxes and Charges),Consider Tax or Charge for (Purchase Taxes and Charges),Description (Purchase Taxes and Charges),Type (Purchase Taxes and Charges),Is this Tax included in Basic Rate? (Purchase Taxes and Charges),Tax Rate (Purchase Taxes and Charges
0,,PT TRIMASTER JAYA ABADI,24/01/2025,SURABAYA,IDR,,,NET 30,,GWC07MOO5S,GREE GWC-07MOO5S,5,3309870,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
1,,PT TRIMASTER JAYA ABADI,24/01/2025,SURABAYA,IDR,,,NET 30,,GWC12F5S,GREE GWC-12F5S,1,5162370,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
2,,PT TRIMASTER JAYA ABADI,24/01/2025,SURABAYA,IDR,,,NET 30,,GWC18F5S,GREE GWC-18F5S,1,7253070,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
3,,PT SHARP ELECTRONICS INDONESIA,24/01/2025,SURABAYA,IDR,,,NET 21,,AHA18ZCY,SHARP AH-A18ZCY,20,5294000,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
4,,CV BANDUNG GEMILANG SENTOSA,23/01/2025,SURABAYA,IDR,,,CBD,,GWC07MOO5S,GREE GWC-07MOO5S,3,3274280,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
5,,PT DAIKIN AIRCONDITIONING INDONESIA,03/01/2025,SURABAYA,IDR,,,CBD,,STC25NV,DAIKIN STC-25NV,10,3940090,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
6,,PT SHARP ELECTRONICS INDONESIA,28/01/2025,SURABAYA,IDR,,,NET 21,,AHA5BEY,SHARP AH-A5BEY,145,2716170,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
7,,PT JATIM WATKORAYA,28/01/2025,BALI,IDR,,,CBD,,ETERNA3X2.5MM,"ETERNA 3X2,5MM",3,1548186,,MTR,GD. UTAMA (BALI) - CBP,,,,,,,
8,,PT DAIKIN AIRCONDITIONING INDONESIA,24/01/2025,SURABAYA,IDR,,,CBD,,SVC85AYL,DAIKIN SVC85AYL,1,17715600,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
9,,CV BALLY AIRCOND,28/01/2025,BALI,IDR,,,CBD,,,,15,3571050,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
