,columns,data
0,item code,GWC05N1A
1,item name,GWC05N1A
2,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD"
18,item code,GCFCIRCOOL14L
19,item name,GCFCIRCOOL14L
20,item code,4900593
21,item name,4900593
22,item code,GWC09N1A
23,item name,GWC09N1A
24,item code,PC4NUDMAN
25,item name,PC4NUDMAN
26,item code,55Q6N
27,item name,55Q6N
28,item code,MATERIAL
29,item name,MATERIAL
38,item code,BAC120FR3
39,item name,BAC120FR3
42,item code,CSCUJ28FFP8
43,item name,CSCUJ28FFP8
46,warehouse,SURABAYA MARGOMULYO (GO TRANS)
