,columns,data,index
0,item code,GWC09N1A,9
1,item name,GWC09N1A,9
2,item code,GWC05N1A,39
3,item name,GWC05N1A,39
4,item code,MATERIAL,42
5,item name,MATERIAL,42
6,item code,CSCUJ28FFP8,59
7,item name,CSCUJ28FFP8,59
8,item code,MATERIAL,67
9,item name,MATERIAL,67
10,item code,MATERIAL,69
11,item name,MATERIAL,69
12,item code,MATERIAL,84
13,item name,MATERIAL,84
14,supplier name,"JIANGYIN XUNYU ALLOY MATERIALS CO.,LTD",217
15,supplier name,"JIANGYIN XUNYU ALLOY MATERIALS CO.,LTD",218
16,supplier name,"JIANGYIN XUNYU ALLOY MATERIALS CO.,LTD",219
17,supplier name,"JIANGYIN XUNYU ALLOY MATERIALS CO.,LTD",220
18,supplier name,"JIANGYIN XUNYU ALLOY MATERIALS CO.,LTD",221
19,supplier name,"JIANGYIN XUNYU ALLOY MATERIALS CO.,LTD",222
20,item code,PIP3858,222
21,item name,PIP3858,222
22,supplier name,"JIANGYIN XUNYU ALLOY MATERIALS CO.,LTD",223
23,supplier name,"JIANGYIN XUNYU ALLOY MATERIALS CO.,LTD",224
24,item code,GWC09N1A,238
25,item name,GWC09N1A,238
26,item code,GWC05N1A,254
27,item name,GWC05N1A,254
28,item code,GCFCIRCOOL14L,259
29,item name,GCFCIRCOOL14L,259
30,item code,4900593,289
31,item name,4900593,289
32,item code,BAC120FR3,299
33,item name,BAC120FR3,299
34,item code,PC4NUDMAN,311
35,item name,PC4NUDMAN,311
36,supplier name,"JIANGYIN XUNYU ALLOY MATERIALS CO.,LTD",317
37,supplier name,"JIANGYIN XUNYU ALLOY MATERIALS CO.,LTD",318
38,supplier name,"JIANGYIN XUNYU ALLOY MATERIALS CO.,LTD",319
39,supplier name,"JIANGYIN XUNYU ALLOY MATERIALS CO.,LTD",341
40,supplier name,"JIANGYIN XUNYU ALLOY MATERIALS CO.,LTD",342
41,supplier name,"JIANGYIN XUNYU ALLOY MATERIALS CO.,LTD",343
42,supplier name,"JIANGYIN XUNYU ALLOY MATERIALS CO.,LTD",344
43,supplier name,"JIANGYIN XUNYU ALLOY MATERIALS CO.,LTD",345
44,supplier name,"JIANGYIN XUNYU ALLOY MATERIALS CO.,LTD",346
45,supplier name,"JIANGYIN XUNYU ALLOY MATERIALS CO.,LTD",347
46,supplier name,"JIANGYIN XUNYU ALLOY MATERIALS CO.,LTD",348
47,item code,55Q6N,349
48,item name,55Q6N,349
49,supplier name,"JIANGYIN XUNYU ALLOY MATERIALS CO.,LTD",358
50,supplier name,"JIANGYIN XUNYU ALLOY MATERIALS CO.,LTD",359
51,supplier name,"JIANGYIN XUNYU ALLOY MATERIALS CO.,LTD",360
52,item code,MATERIAL,370
53,item name,MATERIAL,370
