,columns,data,index
0,item code,GWC05N1A,181
1,item name,GWC05N1A,181
2,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",182
3,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",183
4,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",184
5,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",185
6,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",186
7,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",187
8,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",188
9,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",189
10,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",190
11,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",191
12,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",192
13,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",193
14,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",194
15,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",195
16,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",196
17,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",197
18,item code,GCFCIRCOOL14L,198
19,item name,GCFCIRCOOL14L,198
20,item code,4900593,214
21,item name,4900593,214
22,item code,GWC09N1A,236
23,item name,GWC09N1A,236
24,item code,PC4NUDMAN,244
25,item name,PC4NUDMAN,244
26,item code,55Q6N,261
27,item name,55Q6N,261
28,item code,MATERIAL,283
29,item name,MATERIAL,283
30,item code,MATERIAL,285
31,item name,MATERIAL,285
32,item code,MATERIAL,287
33,item name,MATERIAL,287
34,item code,MATERIAL,291
35,item name,MATERIAL,291
36,item code,GWC09N1A,316
37,item name,GWC09N1A,316
38,item code,BAC120FR3,322
39,item name,BAC120FR3,322
40,item code,MATERIAL,323
41,item name,MATERIAL,323
42,item code,CSCUJ28FFP8,331
43,item name,CSCUJ28FFP8,331
44,item code,GWC09N1A,339
45,item name,GWC09N1A,339
46,warehouse,SURABAYA MARGOMULYO (GO TRANS),366
47,warehouse,SURABAYA MARGOMULYO (GO TRANS),367
48,warehouse,SURABAYA MARGOMULYO (GO TRANS),368
