,columns,data,index
0,item code,MATERIAL,48
1,item name,MATERIAL,48
2,item code,CSCUJ28FFP8,60
3,item name,CSCUJ28FFP8,60
4,item code,MATERIAL,73
5,item name,MATERIAL,73
6,item code,MATERIAL,94
7,item name,MATERIAL,94
8,item code,MATERIAL,96
9,item name,MATERIAL,96
10,item code,GWC09N1A,121
11,item name,GWC09N1A,121
12,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",141
13,item code,GWC05N1A,143
14,item name,GWC05N1A,143
15,item code,GCFCIRCOOL14L,144
16,item name,GCFCIRCOOL14L,144
17,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",145
18,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",146
19,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",147
20,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",148
21,item code,55Q6N,156
22,item name,55Q6N,156
23,item code,GWC09N1A,280
24,item name,GWC09N1A,280
25,item code,BAC120FR3,301
26,item name,BAC120FR3,301
27,item code,PC4NUDMAN,307
28,item name,PC4NUDMAN,307
29,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",321
30,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",322
31,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",323
32,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",324
33,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",325
34,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",326
35,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",327
36,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",328
37,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",329
38,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",330
39,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD",331
40,item code,4900593,339
41,item name,4900593,339
42,item code,MATERIAL,391
43,item name,MATERIAL,391
